name,description,url,type,usage_count
Talk to Figma MCP,Integrate LLM/Cursor AI with Figma to read and modify designs programmatically. Enhance your design workflow by leveraging Cursor's capabilities to interact with Figma's design elements seamlessly.,https://smithery.ai/server/@sonnylazuardi/cursor-talk-to-figma-mcp,Local,
Helius,"Access Solana blockchain data seamlessly. Check wallet balances, retrieve blockchain information, and interact with tokens and NFTs directly through Claude.",https://smithery.ai/server/@dcSpark/mcp-server-helius,Local,
Asana Integration Server,"Connect your AI tools to Asana seamlessly. Manage tasks, projects, and workspaces directly from your LLM interface, enhancing productivity and collaboration. Simplify your workflow by leveraging the power of Asana through intuitive commands and queries.",https://smithery.ai/server/@cristip73/mcp-server-asana,Remote,
Content Summarizer Server,Generate concise summaries from various content formats using advanced AI models.,https://smithery.ai/server/@0xshellming/mcp-ai-summarizer,Local,
VirusTotal Server,"MCP server for VirusTotal API integration, providing comprehensive security analysis tools.",https://smithery.ai/server/@burtthecoder/mcp-virustotal,Remote,
Terminal MCP Server,"Execute commands on local or remote hosts seamlessly. Leverage a powerful interface to run system commands, manage sessions, and set environment variables effortlessly. Enhance your AI models and applications with robust command execution capabilities.",https://smithery.ai/server/@weidwonder/terminal-mcp-server,Remote,
Excel File Processing Server,"Read, write, and analyze Excel files effortlessly. Streamline your data management tasks with powerful functionalities for handling Excel documents. Enhance your applications with seamless integration of Excel processing capabilities.",https://smithery.ai/server/@zhiwei5576/excel-mcp-server,Local,
Erick Wendel Contributions,"A Model Context Protocol (MCP) server that provides tools to query Erick Wendel's contributions across different platforms. 

See full docs in the repo for examples and more!",https://smithery.ai/server/@ErickWendel/erickwendel-contributions-mcp,Remote,
Mercury MCP,"Get a Mercury API Key from your Mercury settings.

Interface with your Mercury banking data seamlessly. Access your financial information and perform banking operations through any compatible MCP client. Simplify your banking interactions with easy-to-use commands and tools.",https://smithery.ai/server/@dragonkhoi/mercury-mcp,Remote,
Shodan Server,"A Model Context Protocol server for querying the Shodan API and Shodan CVEDB, providing access to network intelligence and security services.",https://smithery.ai/server/@burtthecoder/mcp-shodan,Remote,
Pinterest MCP Server,Search for images and retrieve information from Pinterest.,https://smithery.ai/server/@terryso/mcp-pinterest,Remote,
Vercel API Integration,"Connect to the Vercel API to manage deployments, DNS records, domains, and environment variables seamlessly. Streamline your workflow by automating interactions with Vercel, enhancing your development efficiency. Utilize powerful tools to retrieve, create, and manage your Vercel resources effortlessly.",https://smithery.ai/server/@ssdavidai/vercel-api-mcp-fork,Remote,
n8n Assistant,"Search for n8n documentation, example workflows, and community forums seamlessly. Enhance your productivity by quickly retrieving relevant information and resources related to n8n. Utilize asynchronous processing for faster responses and efficient content fetching.",https://smithery.ai/server/@onurpolat05/n8n-assistant,Remote,
Gupiao,Access real-time stock market data and perform trading operations seamlessly. Enhance your financial applications with powerful tools for analysis and decision-making.,https://smithery.ai/server/@zick987/mcpgupiao,Local,
Shell Server,Execute whitelisted shell commands securely via MCP.,https://smithery.ai/server/mcp-shell-server,Remote,
Jenkins MCP,Manage Jenkins operations efficiently.,https://smithery.ai/server/@kjozsa/jenkins-mcp,Remote,
Coin MCP Server,"Fetch the latest cryptocurrency prices effortlessly using our server. Simply provide a token symbol, and receive real-time price data from Bitget’s API. It's fast, simple, and designed for crypto enthusiasts and traders alike!",https://smithery.ai/server/@pwh-pwh/coin-mcp-server,Remote,
Google Scholar MCP Server,"Enable AI assistants to search and access Google Scholar papers through a simple interface. Retrieve paper metadata, author information, and facilitate academic research efficiently. Enhance your AI's capabilities with seamless access to scholarly content.",https://smithery.ai/server/@JackKuo666/google-scholar-mcp-server,Remote,
ABAP Development Tools Server,"Interact with SAP ABAP systems seamlessly. Retrieve source code, table structures, and more through a standardized protocol.",https://smithery.ai/server/@mario-andreschak/mcp-abap-adt,Remote,
Azure MCP,Enable Claude Desktop to manage Azure resources through natural language queries.,https://smithery.ai/server/@Streen9/azure-mcp,Remote,
Screenshot Server,Capture screenshots of web pages and local HTML files using Puppeteer.,https://smithery.ai/server/@sethbang/mcp-screenshot-server,Remote,
Localhost Browser Console and Network logs,"Get the console logs and network logs of any url, including locally hosted web apps",https://smithery.ai/server/@Lumeva-AI/playwright-consolelogs-mcp,Local,
Think Tool,Record and retrieve your reasoning processes seamlessly. Enhance your LLM's capabilities by capturing thoughts and analyzing them for better decision-making. Clear your thought history effortlessly to maintain focus on current tasks.,https://smithery.ai/server/@iamwavecut/mcp-think,Remote,
Email Server,Provide IMAP and SMTP functionalities through a standardized server interface.,https://smithery.ai/server/@ai-zerolab/mcp-email-server,Local,
Hugging Face MCP Server,"Access Hugging Face's models, datasets, and research papers seamlessly. Interact with a wide range of resources and tools to enhance your LLM's capabilities. Utilize prompt templates for efficient model comparisons and paper summaries.",https://smithery.ai/server/@shreyaskarnik/huggingface-mcp-server,Remote,
SupaUI MCP,Automatically generate a variety of UI components to improve development efficiency. Seamlessly integrate with Claude and Windsurf AI assistants to support custom component query and generation.,https://smithery.ai/server/@buoooou/supaui-mcp,Remote,
iTerm MCP,Access your iTerm session and control terminal commands seamlessly.,https://smithery.ai/server/@lite/iterm-mcp,Remote,
Gmail GAS,Model Context Protocol server for Gmail integration using Google Apps Script.,https://smithery.ai/server/@kazuph/mcp-gmail-gas,Remote,
Package Docs,"Access package documentation for Go, Python, and NPM.",https://smithery.ai/server/mcp-package-docs,Remote,
Weather,Provide real-time weather information to your applications. Integrate weather data seamlessly and enhance user experiences with accurate forecasts and conditions.,https://smithery.ai/server/@mcp-examples/weather,Remote,
The Verge News Server,Fetch and search news articles from The Verge's RSS feed.,https://smithery.ai/server/@manimohans/verge-news-mcp,Remote,
Etherscan Tools,"Access Ethereum blockchain data via Etherscan's API, including balances, transactions, token transfers, contract ABIs, gas prices, and ENS resolution.",https://smithery.ai/server/@crazyrabbitLTC/mcp-etherscan-server,Remote,
Youtube Translate,"An MCP server for interfacing with the Youtube Translate API. Create transcripts, translations, subtitles, summaries for any Youtube video (or any other platform). Search video transcripts for keywords and phrases. Directly processes videos to understand them.",https://smithery.ai/server/@brianshin22/youtube-translate-mcp,Remote,
MCP-Sentry,"Retrieve and analyze issues from Sentry.io to enhance your debugging process. Inspect error reports, stack traces, and other critical information seamlessly. Streamline your error management workflow with easy access to detailed issue insights.",https://smithery.ai/server/@qianniuspace/mcp-sentry,Remote,
Vibe Check,"The definitive Vibe Coder's sanity check MCP server: Prevent cascading errors in AI workflows by implementing strategic pattern interrupts. Uses tool call ""Vibe Check"" with LearnLM 1.5 Pro (Gemini API), fine-tuned for pedagogy and metacognition to enhance complex workflow strategy, and prevents tunnel vision errors.

TLDR; Implement an agent fine-tuned to stop your agent and make it reconsider before it confidently implements something wrong.",https://smithery.ai/server/@PV-Bhat/vibe-check-mcp-server,Remote,
Prospect Research Server,"Provide tools and prompts to assist with prospect research tasks. Leverage built-in capabilities to calculate metrics, fetch information, and review code efficiently. Enhance your research workflow with a simple and effective MCP server implementation.",https://smithery.ai/server/@jzhang17/prospect-research-mcp,Remote,
Kagi Search,"Access Kagi's powerful search engine functionality. Enables web searches with high-quality, ad-free results from Kagi's search API.",https://smithery.ai/server/kagi-server,Remote,
Fetch Browser,Fetch web content and perform Google searches seamlessly.,https://smithery.ai/server/@TheSethRose/fetch-browser,Remote,
Twitter Server,"A Model Context Protocol server that allows interaction with Twitter, enabling posting tweets and searching Twitter.",https://smithery.ai/server/@enescinar/twitter-mcp,Remote,
Flutter Inspector,"A MCP server with simple goal to debug Flutter apps by giving ability to AI coding assistants (Cline, Cursor, Claude etc..) tools to do analysis of widget trees, navigation, and layout issues.
See https://github.com/Arenukvern/mcp_flutter/blob/main/ARCHITECTURE.md to understand how it works",https://smithery.ai/server/@Arenukvern/mcp_flutter,Remote,
MSSQL Database Connector,Connect to Microsoft SQL Server databases and execute SQL queries effortlessly. Manage your database connections and run queries directly from your applications with ease. Enhance your data handling capabilities with this powerful MCP server.,https://smithery.ai/server/@knight0zh/mssql-mcp-server,Remote,
Canvas MCP,EdTech MCP. This is a collection of Canvas LMS tools for the model context protocol. Allows you to query your courses and get help for your assignments in the AI app of your choice. try now!,https://smithery.ai/server/@aryankeluskar/canvas-mcp,Remote,
Swagger MCP Server,Parse Swagger/OpenAPI documents and generate TypeScript types and API client code. Integrate seamlessly with large language models to enhance your API development workflow.,https://smithery.ai/server/@tuskermanshu/swagger-mcp-server,Remote,
Financial Data Server,MCP server for fetching financial data from Alpha Vantage.,https://smithery.ai/server/findata-mcp-server,Remote,
LinkedIn Browser,"Automate LinkedIn interactions and extract data securely. Leverage browser automation to manage profiles, posts, and feed while adhering to LinkedIn's terms of service.",https://smithery.ai/server/@alinaqi/mcp-linkedin-server,Remote,
SingleStore MCP Server,Integrate natural language processing with SingleStore to effortlessly manage your data and perform complex operations. Use this server to interact with your databases and execute SQL queries through a user-friendly interface. Simplify your workflow and enhance productivity with seamless access to your data resources.,https://smithery.ai/server/@singlestore-labs/mcp-server-singlestore,Remote,
Simple Notes MCP Server,Create and manage your notes effortlessly. Generate summaries of your notes and access them via unique URIs. Enhance your note-taking experience with a simple and effective tool.,https://smithery.ai/server/@mundume/simple-mcp,Remote,
Salesforce Server,"Interact with Salesforce seamlessly by executing SOQL queries, managing records, and retrieving object metadata. Enhance your applications with real-time data access and secure authentication handling. Simplify your Salesforce integration with this powerful server implementation.",https://smithery.ai/server/@uday210/salesforce-mcp-server,Remote,
Pokémcp,"Poke-MCP is a Model Context Protocol (MCP) server that provides Pokémon information through a standardized interface. It connects to the [PokeAPI](https://pokeapi.co/) to fetch Pokémon data and exposes it through MCP tools that can be used by any MCP-compatible client, such as Claude Desktop App, Continue, Cline, and others.",https://smithery.ai/server/@NaveenBandarage/poke-mcp,Remote,
Databutton,Build and deploy beautiful business apps effortlessly with our AI agent. Generate initial app plans and create a solid foundation for your projects using React and Python APIs. Streamline your development process and unleash unbounded complexity with ease.,https://smithery.ai/server/@databutton/databutton-mcp,Remote,
App Market Intelligence,"Analyze data from the Apple App Store and Google Play Store to gain insights about apps, market trends, and user feedback. Make informed decisions with comprehensive market intelligence at your fingertips.",https://smithery.ai/server/@JiantaoFu/appinsightmcp,Remote,
Email sending server,Send emails directly from your LLM applications using Resend's API. Compose and dispatch emails seamlessly without manual copying and pasting.,https://smithery.ai/server/@ykhli/mcp-send-emails,Remote,
PubMed Search,Search PubMed via MCP.,https://smithery.ai/server/pubmed-search,Remote,
Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs seamlessly to automate tasks and enhance productivity. Simplify your workflow by integrating Google services into your applications effortlessly.,https://smithery.ai/server/@KaranThink41/google_chat_mcp_server,Remote,
Time Server,Provide current time information and perform timezone conversions.,https://smithery.ai/server/@smithery-ai/time,Remote,
Spotify,Connect to Spotify to control playback and manage your music library. This fork includes playlist management support,https://smithery.ai/server/@jamiew/spotify-mcp,Remote,
TweetBinder,"Access Twitter analytics and reporting capabilities directly from your AI models. Analyze hashtags, users, and conversations to gain insights and generate detailed reports effortlessly. Enhance your social media strategy with real-time engagement metrics and sentiment analysis.",https://smithery.ai/server/@AudienseCo/mcp-tweetbinder,Remote,
PubMed Enhanced Search Server,"Search and retrieve academic papers from the PubMed database with enhanced tools. Utilize features like MeSH term lookup, publication statistics, and structured PICO-based evidence searches to streamline your research process.",https://smithery.ai/server/@leescot/pubmed-mcp-smithery,Remote,
Time Server,Provide the current date and time in various timezones.,https://smithery.ai/server/mcp-timeserver,Remote,
ScrapeGraph MCP Server,"ScrapeGraphAI is a LLM-powered scraping API for structured data extraction from any website. SmartScraper allows you to extract structured data from a specific webpage, SearchScraper finds the information you're looking for on the web and returns a structured response, and Markdownify converts webpages into markdown. 

Web search integration and content filtering

 - API KEY --> dashboard.scrapegraphai.com",https://smithery.ai/server/@ScrapeGraphAI/scrapegraph-mcp,Remote,
Perplexity MCP Zerver,"Leverage AI-powered research capabilities seamlessly without the need for an API key. Perform web searches, retrieve documentation, and analyze code with a modular tool architecture. Enhance your research workflow with integrated chat and API discovery features.",https://smithery.ai/server/@wysh3/perplexity-mcp-zerver,Remote,
Appwrite MCP Server,"Manage your Appwrite projects effortlessly. Interact with databases, users, functions, and teams through a streamlined API interface. Enhance your development experience with integrated tools for seamless project management.",https://smithery.ai/server/@appwrite/mcp,Remote,
GitHub API MCP Server,"Manage your GitHub repositories effortlessly. Create, update, and search files, issues, and pull requests with ease, all while preserving your Git history. Streamline your development workflow by automating repository management tasks.",https://smithery.ai/server/@renantrendt/reference-servers,Remote,
Gitee MCP Server,"Automate your Gitee repository management with ease. Create, update, and manage repositories, issues, and pull requests through a simple interface. Enhance your workflow by letting AI handle Gitee operations for you.",https://smithery.ai/server/@normal-coder/gitee-mcp-server,Remote,
Centinela Analytics Server,Store and manage notes efficiently while generating insightful summaries. Execute SQL queries and create reports seamlessly with Metabase integration. Enhance your data analytics capabilities with a user-friendly interface and powerful tools.,https://smithery.ai/server/@centinela-io/ctl-analytics-mcp-server,Remote,
Airtable MCP,"Connect your AI tools directly to Airtable. Query, create, update, and delete records using natural language. Features include base management, table operations, schema manipulation, record filtering, and data migration—all through a standardized MCP interface compatible with Cursor, Claude Code, Cline, Zed, and other Claude-powered editors.",https://smithery.ai/server/@rashidazarang/airtable-mcp,Remote,
PapersWithCode Client,"Interface with the PapersWithCode API to access a wealth of research information. Retrieve details about papers, authors, conferences, and methods effortlessly, enhancing your AI agent's capabilities. Simplify your research process with powerful tools for searching and explaining academic papers.",https://smithery.ai/server/@hbg/mcp-paperswithcode,Remote,
GitHub Mapper,"An MCP server that maps and analyzes GitHub repository structures, providing summary statistics and detailed file structures.",https://smithery.ai/server/github-mapper-mcp-server,Remote,
Claude Custom Prompts,"Define and utilize custom prompts in markdown format to enhance your interactions with Claude. Streamline complex tasks into manageable steps with a flexible, template-based prompt system. Experience improved error handling and transport configurations for seamless operation.",https://smithery.ai/server/@minipuft/claude-prompts-mcp,Remote,
Windows Command Line MCP Server,"Enable AI models to interact with Windows command-line functionality securely and efficiently. Execute commands, create projects, and retrieve system information while maintaining strict security protocols. Enhance your development workflows with safe command execution and project management tools.",https://smithery.ai/server/@alxspiker/Windows-Command-Line-MCP-Server,Remote,
NLTK Model Context Protocol Server,Integrate NLTK with external data and tools seamlessly. Enhance your natural language processing capabilities by leveraging real-world data and actions through a standardized interface.,https://smithery.ai/server/@kwen1510/nltk-map,Remote,
MCP Fetch,Fetch web content and process images seamlessly for your agents. Enhance your Claude Desktop experience by retrieving and handling online content efficiently.,https://smithery.ai/server/@JeremyNixon/mcp-fetch-me,Remote,
Weather MCP Tool,"Check global weather effortlessly with a single sentence. Enjoy seamless integration with the Cursor editor, allowing for natural language queries in both Chinese and English. Get accurate weather forecasts for major cities worldwide with minimal setup.",https://smithery.ai/server/@MrCare/mcp_tool,Remote,
RAG Web Browser Server,"This server allows AI models to perform web searches and scrape content, returning it in Markdown format via the RAG Web Browser Actor.",https://smithery.ai/server/mcp-server-rag-web-browser,Remote,
Clickhouse MCP Server,"An MCP server implementation that enables Claude AI to interact with Clickhouse databases. Features include secure database connections, query execution, read-only mode support, and multi-query capabilities.",https://smithery.ai/server/@burakdirin/clickhouse-mcp-server,Remote,
Gmail Notes Server,Create and manage your notes seamlessly with this server. Generate summaries of your notes and access them easily through a simple interface. Enhance your productivity by integrating your notes with LLM capabilities.,https://smithery.ai/server/@mundume/gmail-mcp,Remote,
Atlassian Confluence Integration,"Connect your AI systems to Atlassian Confluence for seamless access to your organization's knowledge base. Retrieve, search, and manage Confluence content effortlessly, enhancing your AI's capabilities with real-time data. Simplify your workflow by integrating powerful Confluence tools directly into your AI applications.",https://smithery.ai/server/@aashari/mcp-server-atlassian-confluence,Remote,
mcp-nixos,MCP-NixOS is a Model Context Protocol server that stops your AI assistant from making stuff up about NixOS. Because let's face it—the only thing worse than confusing NixOS documentation is an AI confidently hallucinating about it.,https://smithery.ai/server/@utensils/mcp-nixos,Remote,
Whimsical Diagram Creator,Generate Whimsical diagrams programmatically using Mermaid markup. Enhance your visual documentation by creating complex diagrams directly from your MCP Client. Streamline your workflow with instant access to diagram URLs and images for easy iteration.,https://smithery.ai/server/@BrockReece/whimsical-mcp-server,Remote,
Code Runner MCP Server,"Run code snippets in various programming languages and see the results instantly. Enhance your coding experience by executing code directly within your environment, supporting a wide range of languages. Perfect for testing and debugging code snippets quickly and efficiently.",https://smithery.ai/server/@formulahendry/mcp-server-code-runner,Remote,
虚拟币价格查询服务,查询最新的虚拟币价格和市场数据，帮助用户获取实时的加密货币信息。无缝集成到支持MCP的AI助手中，提供多种查询和分析功能。,https://smithery.ai/server/@telegramtool/crypto_mcp,Remote,
Calculator,This server enables LLMs to use calculator for precise numerical calculations.,https://smithery.ai/server/@githejie/mcp-server-calculator,Remote,
Home Assistant MCP,Connect your AI assistants with smart home devices seamlessly. Control and monitor your Home Assistant entities through a simple and efficient interface. Enhance your smart home experience by integrating AI capabilities into your automation workflows.,https://smithery.ai/server/@guilhermelirio/homeassistant-mpc,Remote,
Monday.com MCP - Typescript,"A MCP server for Monday.com, that provides the basic functions of the standard GraqhQL API and some custom functions",https://smithery.ai/server/@launchthatbrand/mcp-monday-ts,Remote,
LLMS.txt Explorer,Explore and analyze websites that implement the llms.txt standard. Discover compliant websites and validate their llms.txt files effortlessly. Gain structured insights into the llms.txt ecosystem with ease.,https://smithery.ai/server/@thedaviddias/mcp-llms-txt-explorer,Remote,
doc-tools-mcp,"Manipulate Word documents effortlessly using natural language commands. Create, edit, and manage documents with advanced features like table creation and metadata management. Enhance your productivity by integrating document processing capabilities into your AI applications.",https://smithery.ai/server/@puchunjie/doc-tools,Local,
URL Shortener MCP,Shorten any given URL effortlessly using the CleanURI API. Integrate this tool into your systems to enhance user experience with quick and reliable URL shortening. Enjoy seamless operation with proper error handling and response validation.,https://smithery.ai/server/@Talismanic/cleanuri-url-shortener-mcp,Local,
Elasticsearch 7.x MCP Server,Interact seamlessly with Elasticsearch 7.x using a standardized MCP protocol. Perform basic operations and advanced search functionalities effortlessly through any MCP client. Enhance your applications with powerful Elasticsearch capabilities without diving into complex API calls.,https://smithery.ai/server/@imlewc/elasticsearch7-mcp-server,Local,
Audiense Demand,Create and analyze demand reports effortlessly. Gain insights across various channels and countries to enhance your decision-making process. Leverage the power of Audiense Demand with seamless integration into your workflow.,https://smithery.ai/server/@AudienseCo/mcp-audiense-demand,Remote,
MotherDuck,Connect and query MotherDuck and local DuckDB databases.,https://smithery.ai/server/mcp-server-motherduck,Remote,
Image Generator,"Generate images from text prompts effortlessly. Utilize advanced AI models to create stunning visuals tailored to your specifications. Perfect for artists, designers, and anyone in need of custom imagery.",https://smithery.ai/server/@GMKR/imagegenerator,Remote,
Notion Integration,An MCP server that integrates with Notion's API to manage personal todo lists.,https://smithery.ai/server/notion_mcp,Remote,
Dice Roller,Roll dice using standard dice notation and return results with their total sum.,https://smithery.ai/server/mcp-dice,Remote,
Skrape MCP Server,"Get any website content - Convert webpages into clean, LLM-ready Markdown.",https://smithery.ai/server/@skrapeai/skrape-mcp,Remote,
Tenki,Get weather updates for Japan.,https://smithery.ai/server/mcp-tenki,Remote,
Scraper.is,"Scrape web content effortlessly and access real-time information for your AI assistants. Capture screenshots and extract data in multiple formats like markdown, HTML, or JSON. Enhance your AI's capabilities with seamless web scraping integration.",https://smithery.ai/server/@Ai-Quill/scaperis-mcp,Remote,
JigsawStack AI Web Search,Effortlessly search the Web and get access to high-quality results powered with AI. Learn more about this API here: https://jigsawstack.com/docs/api-reference/web/ai-search Get your jigsawstack API key here: https://jigsawstack.com/dashboard/,https://smithery.ai/server/@JigsawStack/ai-web-search,Remote,
Jina Reader MCP Server,Fetch the content of a remote URL as Markdown with Jina Reader,https://smithery.ai/server/mcp-jina-reader,Remote,
Freshdesk Integration Server,"Integrate AI models with Freshdesk to automate support operations. Create, update, and manage support tickets seamlessly through the Freshdesk API. Enhance your customer support experience with automated ticket management and AI-driven interactions.",https://smithery.ai/server/@effytech/freshdesk_mcp,Remote,
Jina Reader MCP Server,Fetch the content of a remote URL as Markdown with Jina Reader,https://smithery.ai/server/mcp-jina-reader,Remote,
Poker Win Calculator,Calculate your chances of winning in poker games with ease. Utilize advanced algorithms to analyze your hand and make informed decisions. Enhance your poker strategy and improve your gameplay with this powerful tool.,https://smithery.ai/server/@watsonchua/poker_win_calculator,Remote,
Gemini Thinking 2.5 Pro,"Leverage advanced analytical thinking capabilities to break down complex problems and generate thoughtful responses. Enhance your problem-solving process with insights, confidence levels, and alternative approaches, all while maintaining session persistence for ongoing analysis.",https://smithery.ai/server/@palolxx/geminimcptest,Remote,
Plane MCP Server,Manage your projects and issues seamlessly with Plane's API. Enable LLMs to interact with your project management workflows while ensuring user control and security. Streamline your project management tasks effortlessly.,https://smithery.ai/server/@kelvin6365/plane-mcp-server,Remote,
Plane MCP Server,"Interact seamlessly with the Plane project management platform. Manage workspaces, projects, and issues effortlessly through a set of powerful tools designed for AI assistants. Enhance your project management experience by automating tasks and retrieving real-time data.",https://smithery.ai/server/@gh-Constant/plane-mcp-server,Remote,
VirusTotal MCP Server,"Query the VirusTotal API to obtain comprehensive security analysis reports. Analyze URLs, files, IPs, and domains with automatic relationship data fetching for a complete security overview. Enhance your threat intelligence capabilities with advanced search and detailed relationship analysis tools.",https://smithery.ai/server/@emeryray2002/virustotal-mcp,Remote,
Coinmarket Server,Access Coinmarket API endpoints for currency listings and token quotes.,https://smithery.ai/server/coinmarket-service,Remote,
Lilith Shell,"Empower your AI assistants to execute terminal commands securely and efficiently. Leverage enhanced security controls and testing to ensure safe command execution in controlled environments. Ideal for development systems, this tool allows for seamless integration with any AI assistant supporting the Model Context Protocol.",https://smithery.ai/server/@charles-adedotun/Lilith-Shell,Remote,
PiAPI MCP Server,"MCP Server for PiAPI image generation, supporting media content creation through various services.",https://smithery.ai/server/piapi-mcp-server,Remote,
OpenAI Server,MCP server for simple interaction with OpenAI API.,https://smithery.ai/server/@mzxrai/mcp-openai,Remote,
iOS Development Bridge Integration,Automate iOS device management and test execution seamlessly. Leverage the power of MCP to enhance your iOS development workflow with automated interactions and testing capabilities.,https://smithery.ai/server/@noahlozevski/mcp-idb,Local,
DBT Semantic Layer Server,Query the DBT Semantic Layer API seamlessly. Enhance your data querying capabilities with a robust MCP server.,https://smithery.ai/server/@TommyBez/dbt-semantic-layer-mcp,Remote,
UML Diagram Generation Tool,Generate various types of UML diagrams effortlessly using natural language or PlantUML code. Share and view diagrams easily with accessible URLs and local file paths. Integrate seamlessly with MCP-compatible clients for enhanced functionality.,https://smithery.ai/server/@Swayingleaves/uml-mcp-server,Local,
Meilisearch MCP Server,Enable AI assistants to interact with Meilisearch through a standardized interface.,https://smithery.ai/server/@devlimelabs/meilisearch-ts-mcp,Remote,
Serper Search and Scrape,Habilite recursos poderosos de pesquisa na web e extração de conteúdo. Realize pesquisas ricas na web e raspe o conteúdo da página da web perfeitamente com a integração da API Serper.,https://smithery.ai/server/@diegofornalha/mcp-server-serper,Remote,
Datetime Formatting Server,"A service for generating datetime strings in various formats, optimized for integration with the Claude Desktop Application.",https://smithery.ai/server/mcp-datetime,Remote,
Anki Integration Server,"Integrate seamlessly with Anki to manage your decks and notes. Create, list, and access Anki decks and note models effortlessly through a simple API. Enhance your Anki experience with powerful tools for note management and organization.",https://smithery.ai/server/@CamdenClark/anki-mcp-server,Remote,
Solana Docs Server,Solana docs context,https://smithery.ai/server/@aldrin-labs/solana-docs-mcp-server,Remote,
LLM.txt MCP Server,"A Model Context Protocol (MCP) server that processes llm.txt files, offering directory listing, content retrieval, and multi-query search capabilities. It supports local caching and various OS-specific cache locations.",https://smithery.ai/server/@mcp-get-community/server-llm-txt,Remote,
LLM.txt MCP Server,"A Model Context Protocol (MCP) server that processes llm.txt files, offering directory listing, content retrieval, and multi-query search capabilities. It supports local caching and various OS-specific cache locations.",https://smithery.ai/server/@mcp-get-community/server-llm-txt,Remote,
Bear MCP Server,Interact with Bear note-taking software.,https://smithery.ai/server/@jkawamoto/mcp-bear,Local,
JigsawStack vOCR,"OCR + AI = Magic: 
Extract data from any image in a consistent structure with fine-tuned vLLMs for the highest accuracy. Learn more about AI backed OCR here: https://jigsawstack.com/docs/api-reference/ai/vocr Get your jigsawstack API key here: https://jigsawstack.com/dashboard/",https://smithery.ai/server/@JigsawStack/vocr,Remote,
Bitrefill MCP Server,"Access Bitrefill services to search for gift cards, mobile top-ups, and more. Enhance your AI assistant's capabilities by integrating with Bitrefill's offerings using the Model Context Protocol.",https://smithery.ai/server/@bitrefill/bitrefill-mcp-server,Remote,
飞书MCP机器人,Enable users of Claude or Cursor to execute business logic using the Feishu bot through an MCP server proxy. Seamlessly integrate LLM capabilities with Feishu's API for enhanced automation and interaction. Simplify your workflow by leveraging the power of language models in your Feishu applications.,https://smithery.ai/server/@Chenzhi-Ana/feishu_mcp_server,Remote,
AWS Knowledge Base Retrieval,Retrieve information from the AWS Knowledge Base using queries and Knowledge Base IDs.,https://smithery.ai/server/@smithery-ai/aws-kb-retrieval-server,Remote,
Serper Search and Scrape,Enable powerful web search and content extraction capabilities. Perform web searches and scrape webpage content seamlessly to enhance your applications with real-time data.,https://smithery.ai/server/@tahaswx/mcp-server-serper-test,Remote,
Model Context Protocol Servers,Showcase versatile implementations of the Model Context Protocol for secure LLM access to tools and data.,https://smithery.ai/server/@chuanmingliu/servers,Remote,
Solana Trading Server,"Facilitate seamless Solana token trading with our server. Create wallets, check balances, and execute swaps effortlessly through a user-friendly interface. Enhance your trading experience with real-time transaction tracking and customizable slippage options.",https://smithery.ai/server/@8bitsats/solanatradingserver,Remote,
barnsworthburning,"Use this MCP server to search barnsworthburning.net, a digital commonplace book built and curated by Nick Trombley. The site contains a wealth of bookmarks and short snippets on a broad range of topics: design, software, art, architecture, craft, writing, literature, and many more.",https://smithery.ai/server/@Aias/barnsworthburning-mcp,Remote,
Brasil API,"Connect AI assistants to Brazilian public data services. Access vital information like postal codes, company registrations, and currency exchange rates seamlessly.",https://smithery.ai/server/@guilhermelirio/brasil-api-mcp,Remote,
Desktop Commander,Execute terminal commands and manage processes seamlessly on your computer. Enhance your coding workflow with advanced file editing capabilities and real-time output streaming. Simplify your development tasks with powerful command execution and file manipulation tools.,https://smithery.ai/server/@zhanyiwp/desktopcommandermcp-1,Remote,
Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.,https://smithery.ai/server/@amotivv/cloudflare-browser-rendering,Remote,
RelevanceAI MCP Server,Integrate and utilize tools created in RelevanceAI seamlessly. Enhance your applications with powerful data processing capabilities through a standardized interface. Start leveraging advanced functionalities to improve your workflows today!,https://smithery.ai/server/@RelevanceAI/relevanceai-mcp-server,Remote,
Figma API Integration Server,Integrate Figma's powerful design capabilities into your applications. Leverage the MCP server to interact with Figma's API seamlessly and enhance your workflows. Simplify your design processes by connecting Figma with other tools and services effortlessly.,https://smithery.ai/server/@kailashAppDev/figma-mcp-toolkit,Remote,
NASA MCP Server,"Access NASA's vast array of data sources through a standardized interface for AI models. Retrieve and interact with over 20 NASA APIs seamlessly, ensuring optimized data formats for AI consumption. Experience automatic parameter validation and comprehensive documentation to enhance your development process.",https://smithery.ai/server/@ProgramComputer/nasa-mcp-server,Remote,
TMDB Server,"This server integrates with The Movie Database (TMDB) API to provide movie information, search capabilities, and recommendations.",https://smithery.ai/server/@Laksh-star/mcp-server-tmdb,Remote,
CCXT MCP Server,High-performance CCXT MCP server for cryptocurrency exchange integration.,https://smithery.ai/server/@doggybee/mcp-server-ccxt,Remote,
