url,name,description
,,
,Pokémcp,"Poke-MCP is a Model Context Protocol (MCP) server that provides Pokémon information through a standardized interface. It connects to the [PokeAPI](https://pokeapi.co/) to fetch Pokémon data and exposes it through MCP tools that can be used by any MCP-compatible client, such as Claude Desktop App, Continue, Cline, and others."
,,
,Databutton,Build and deploy beautiful business apps effortlessly with our AI agent. Generate initial app plans and create a solid foundation for your projects using React and Python APIs. Streamline your development process and unleash unbounded complexity with ease.
,,
,App Market Intelligence,"Analyze data from the Apple App Store and Google Play Store to gain insights about apps, market trends, and user feedback. Make informed decisions with comprehensive market intelligence at your fingertips."
,,
,Email sending server,Send emails directly from your LLM applications using Resend's API. Compose and dispatch emails seamlessly without manual copying and pasting.
,,
,PubMed Search,Search PubMed via MCP.
,,
,Google Workspace Server,Manage your emails and calendar events programmatically through a unified interface. Interact with Gmail and Calendar APIs seamlessly to automate tasks and enhance productivity. Simplify your workflow by integrating Google services into your applications effortlessly.
,,
,Time Server,Provide current time information and perform timezone conversions.
,,
,Spotify,Connect to Spotify to control playback and manage your music library. This fork includes playlist management support
,,
,TweetBinder,"Access Twitter analytics and reporting capabilities directly from your AI models. Analyze hashtags, users, and conversations to gain insights and generate detailed reports effortlessly. Enhance your social media strategy with real-time engagement metrics and sentiment analysis."
,,
,PubMed Enhanced Search Server,"Search and retrieve academic papers from the PubMed database with enhanced tools. Utilize features like MeSH term lookup, publication statistics, and structured PICO-based evidence searches to streamline your research process."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Time Server,Provide the current date and time in various timezones.
,,
,ScrapeGraph MCP Server,"ScrapeGraphAI is a LLM-powered scraping API for structured data extraction from any website. SmartScraper allows you to extract structured data from a specific webpage, SearchScraper finds the information you're looking for on the web and returns a structured response, and Markdownify converts webpages into markdown. 

Web search integration and content filtering

 - API KEY --> dashboard.scrapegraphai.com"
,,
,Perplexity MCP Zerver,"Leverage AI-powered research capabilities seamlessly without the need for an API key. Perform web searches, retrieve documentation, and analyze code with a modular tool architecture. Enhance your research workflow with integrated chat and API discovery features."
,,
,Appwrite MCP Server,"Manage your Appwrite projects effortlessly. Interact with databases, users, functions, and teams through a streamlined API interface. Enhance your development experience with integrated tools for seamless project management."
,,
,GitHub API MCP Server,"Manage your GitHub repositories effortlessly. Create, update, and search files, issues, and pull requests with ease, all while preserving your Git history. Streamline your development workflow by automating repository management tasks."
,,
,Gitee MCP Server,"Automate your Gitee repository management with ease. Create, update, and manage repositories, issues, and pull requests through a simple interface. Enhance your workflow by letting AI handle Gitee operations for you."
,,
,Centinela Analytics Server,Store and manage notes efficiently while generating insightful summaries. Execute SQL queries and create reports seamlessly with Metabase integration. Enhance your data analytics capabilities with a user-friendly interface and powerful tools.
,,
,Airtable MCP,"Connect your AI tools directly to Airtable. Query, create, update, and delete records using natural language. Features include base management, table operations, schema manipulation, record filtering, and data migration—all through a standardized MCP interface compatible with Cursor, Claude Code, Cline, Zed, and other Claude-powered editors."
,,
,PapersWithCode Client,"Interface with the PapersWithCode API to access a wealth of research information. Retrieve details about papers, authors, conferences, and methods effortlessly, enhancing your AI agent's capabilities. Simplify your research process with powerful tools for searching and explaining academic papers."
,,
,GitHub Mapper,"An MCP server that maps and analyzes GitHub repository structures, providing summary statistics and detailed file structures."
,,
,Claude Custom Prompts,"Define and utilize custom prompts in markdown format to enhance your interactions with Claude. Streamline complex tasks into manageable steps with a flexible, template-based prompt system. Experience improved error handling and transport configurations for seamless operation."
,,
,Windows Command Line MCP Server,"Enable AI models to interact with Windows command-line functionality securely and efficiently. Execute commands, create projects, and retrieve system information while maintaining strict security protocols. Enhance your development workflows with safe command execution and project management tools."
,,
,NLTK Model Context Protocol Server,Integrate NLTK with external data and tools seamlessly. Enhance your natural language processing capabilities by leveraging real-world data and actions through a standardized interface.
,,
,MCP Fetch,Fetch web content and process images seamlessly for your agents. Enhance your Claude Desktop experience by retrieving and handling online content efficiently.
,,
,Weather MCP Tool,"Check global weather effortlessly with a single sentence. Enjoy seamless integration with the Cursor editor, allowing for natural language queries in both Chinese and English. Get accurate weather forecasts for major cities worldwide with minimal setup."
,,
,RAG Web Browser Server,"This server allows AI models to perform web searches and scrape content, returning it in Markdown format via the RAG Web Browser Actor."
,,
,Clickhouse MCP Server,"An MCP server implementation that enables Claude AI to interact with Clickhouse databases. Features include secure database connections, query execution, read-only mode support, and multi-query capabilities."
,,
,Gmail Notes Server,Create and manage your notes seamlessly with this server. Generate summaries of your notes and access them easily through a simple interface. Enhance your productivity by integrating your notes with LLM capabilities.
,,
,Atlassian Confluence Integration,"Connect your AI systems to Atlassian Confluence for seamless access to your organization's knowledge base. Retrieve, search, and manage Confluence content effortlessly, enhancing your AI's capabilities with real-time data. Simplify your workflow by integrating powerful Confluence tools directly into your AI applications."
,,
,mcp-nixos,MCP-NixOS is a Model Context Protocol server that stops your AI assistant from making stuff up about NixOS. Because let's face it—the only thing worse than confusing NixOS documentation is an AI confidently hallucinating about it.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Whimsical Diagram Creator,Generate Whimsical diagrams programmatically using Mermaid markup. Enhance your visual documentation by creating complex diagrams directly from your MCP Client. Streamline your workflow with instant access to diagram URLs and images for easy iteration.
,,
,Code Runner MCP Server,"Run code snippets in various programming languages and see the results instantly. Enhance your coding experience by executing code directly within your environment, supporting a wide range of languages. Perfect for testing and debugging code snippets quickly and efficiently."
,,
,虚拟币价格查询服务,查询最新的虚拟币价格和市场数据，帮助用户获取实时的加密货币信息。无缝集成到支持MCP的AI助手中，提供多种查询和分析功能。
,,
,Calculator,This server enables LLMs to use calculator for precise numerical calculations.
,,
,Home Assistant MCP,Connect your AI assistants with smart home devices seamlessly. Control and monitor your Home Assistant entities through a simple and efficient interface. Enhance your smart home experience by integrating AI capabilities into your automation workflows.
,,
,Monday.com MCP - Typescript,"A MCP server for Monday.com, that provides the basic functions of the standard GraqhQL API and some custom functions"
,,
,LLMS.txt Explorer,Explore and analyze websites that implement the llms.txt standard. Discover compliant websites and validate their llms.txt files effortlessly. Gain structured insights into the llms.txt ecosystem with ease.
,,
,doc-tools-mcp,"Manipulate Word documents effortlessly using natural language commands. Create, edit, and manage documents with advanced features like table creation and metadata management. Enhance your productivity by integrating document processing capabilities into your AI applications."
,,
,URL Shortener MCP,Shorten any given URL effortlessly using the CleanURI API. Integrate this tool into your systems to enhance user experience with quick and reliable URL shortening. Enjoy seamless operation with proper error handling and response validation.
,,
,Elasticsearch 7.x MCP Server,Interact seamlessly with Elasticsearch 7.x using a standardized MCP protocol. Perform basic operations and advanced search functionalities effortlessly through any MCP client. Enhance your applications with powerful Elasticsearch capabilities without diving into complex API calls.
,,
,Audiense Demand,Create and analyze demand reports effortlessly. Gain insights across various channels and countries to enhance your decision-making process. Leverage the power of Audiense Demand with seamless integration into your workflow.
,,
,MotherDuck,Connect and query MotherDuck and local DuckDB databases.
,,
,Notion Integration,An MCP server that integrates with Notion's API to manage personal todo lists.
,,
,Dice Roller,Roll dice using standard dice notation and return results with their total sum.
,,
,Skrape MCP Server,"Get any website content - Convert webpages into clean, LLM-ready Markdown."
,,
,Image Generator,"Generate images from text prompts effortlessly. Utilize advanced AI models to create stunning visuals tailored to your specifications. Perfect for artists, designers, and anyone in need of custom imagery."
,,
,Tenki,Get weather updates for Japan.
,,
,Scraper.is,"Scrape web content effortlessly and access real-time information for your AI assistants. Capture screenshots and extract data in multiple formats like markdown, HTML, or JSON. Enhance your AI's capabilities with seamless web scraping integration."
,,
,JigsawStack AI Web Search,Effortlessly search the Web and get access to high-quality results powered with AI. Learn more about this API here: https://jigsawstack.com/docs/api-reference/web/ai-search Get your jigsawstack API key here: https://jigsawstack.com/dashboard/
,,
,Jina Reader MCP Server,Fetch the content of a remote URL as Markdown with Jina Reader
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Freshdesk Integration Server,"Integrate AI models with Freshdesk to automate support operations. Create, update, and manage support tickets seamlessly through the Freshdesk API. Enhance your customer support experience with automated ticket management and AI-driven interactions."
,,
,Jina Reader MCP Server,Fetch the content of a remote URL as Markdown with Jina Reader
,,
,Poker Win Calculator,Calculate your chances of winning in poker games with ease. Utilize advanced algorithms to analyze your hand and make informed decisions. Enhance your poker strategy and improve your gameplay with this powerful tool.
,,
,Gemini Thinking 2.5 Pro,"Leverage advanced analytical thinking capabilities to break down complex problems and generate thoughtful responses. Enhance your problem-solving process with insights, confidence levels, and alternative approaches, all while maintaining session persistence for ongoing analysis."
,,
,Plane MCP Server,Manage your projects and issues seamlessly with Plane's API. Enable LLMs to interact with your project management workflows while ensuring user control and security. Streamline your project management tasks effortlessly.
,,
,Plane MCP Server,"Interact seamlessly with the Plane project management platform. Manage workspaces, projects, and issues effortlessly through a set of powerful tools designed for AI assistants. Enhance your project management experience by automating tasks and retrieving real-time data."
,,
,VirusTotal MCP Server,"Query the VirusTotal API to obtain comprehensive security analysis reports. Analyze URLs, files, IPs, and domains with automatic relationship data fetching for a complete security overview. Enhance your threat intelligence capabilities with advanced search and detailed relationship analysis tools."
,,
,Coinmarket Server,Access Coinmarket API endpoints for currency listings and token quotes.
,,
,Lilith Shell,"Empower your AI assistants to execute terminal commands securely and efficiently. Leverage enhanced security controls and testing to ensure safe command execution in controlled environments. Ideal for development systems, this tool allows for seamless integration with any AI assistant supporting the Model Context Protocol."
,,
,PiAPI MCP Server,"MCP Server for PiAPI image generation, supporting media content creation through various services."
,,
,OpenAI Server,MCP server for simple interaction with OpenAI API.
,,
,iOS Development Bridge Integration,Automate iOS device management and test execution seamlessly. Leverage the power of MCP to enhance your iOS development workflow with automated interactions and testing capabilities.
,,
,DBT Semantic Layer Server,Query the DBT Semantic Layer API seamlessly. Enhance your data querying capabilities with a robust MCP server.
,,
,Meilisearch MCP Server,Enable AI assistants to interact with Meilisearch through a standardized interface.
,,
,Serper Search and Scrape,Habilite recursos poderosos de pesquisa na web e extração de conteúdo. Realize pesquisas ricas na web e raspe o conteúdo da página da web perfeitamente com a integração da API Serper.
,,
,Datetime Formatting Server,"A service for generating datetime strings in various formats, optimized for integration with the Claude Desktop Application."
,,
,Anki Integration Server,"Integrate seamlessly with Anki to manage your decks and notes. Create, list, and access Anki decks and note models effortlessly through a simple API. Enhance your Anki experience with powerful tools for note management and organization."
,,
,Solana Docs Server,Solana docs context
,,
,UML Diagram Generation Tool,Generate various types of UML diagrams effortlessly using natural language or PlantUML code. Share and view diagrams easily with accessible URLs and local file paths. Integrate seamlessly with MCP-compatible clients for enhanced functionality.
,,
,LLM.txt MCP Server,"A Model Context Protocol (MCP) server that processes llm.txt files, offering directory listing, content retrieval, and multi-query search capabilities. It supports local caching and various OS-specific cache locations."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,LLM.txt MCP Server,"A Model Context Protocol (MCP) server that processes llm.txt files, offering directory listing, content retrieval, and multi-query search capabilities. It supports local caching and various OS-specific cache locations."
,,
,Bear MCP Server,Interact with Bear note-taking software.
,,
,JigsawStack vOCR,"OCR + AI = Magic: 
Extract data from any image in a consistent structure with fine-tuned vLLMs for the highest accuracy. Learn more about AI backed OCR here: https://jigsawstack.com/docs/api-reference/ai/vocr Get your jigsawstack API key here: https://jigsawstack.com/dashboard/"
,,
,Bitrefill MCP Server,"Access Bitrefill services to search for gift cards, mobile top-ups, and more. Enhance your AI assistant's capabilities by integrating with Bitrefill's offerings using the Model Context Protocol."
,,
,飞书MCP机器人,Enable users of Claude or Cursor to execute business logic using the Feishu bot through an MCP server proxy. Seamlessly integrate LLM capabilities with Feishu's API for enhanced automation and interaction. Simplify your workflow by leveraging the power of language models in your Feishu applications.
,,
,AWS Knowledge Base Retrieval,Retrieve information from the AWS Knowledge Base using queries and Knowledge Base IDs.
,,
,Serper Search and Scrape,Enable powerful web search and content extraction capabilities. Perform web searches and scrape webpage content seamlessly to enhance your applications with real-time data.
,,
,Model Context Protocol Servers,Showcase versatile implementations of the Model Context Protocol for secure LLM access to tools and data.
,,
,Solana Trading Server,"Facilitate seamless Solana token trading with our server. Create wallets, check balances, and execute swaps effortlessly through a user-friendly interface. Enhance your trading experience with real-time transaction tracking and customizable slippage options."
,,
,barnsworthburning,"Use this MCP server to search barnsworthburning.net, a digital commonplace book built and curated by Nick Trombley. The site contains a wealth of bookmarks and short snippets on a broad range of topics: design, software, art, architecture, craft, writing, literature, and many more."
,,
,Brasil API,"Connect AI assistants to Brazilian public data services. Access vital information like postal codes, company registrations, and currency exchange rates seamlessly."
,,
,Desktop Commander,Execute terminal commands and manage processes seamlessly on your computer. Enhance your coding workflow with advanced file editing capabilities and real-time output streaming. Simplify your development tasks with powerful command execution and file manipulation tools.
,,
,Web Content Server,Fetch and process web content seamlessly for LLM context using Cloudflare Browser Rendering. Enhance your applications with real-time web data extraction and structured content summarization. Leverage powerful tools to enrich your LLM interactions with relevant web information.
,,
,RelevanceAI MCP Server,Integrate and utilize tools created in RelevanceAI seamlessly. Enhance your applications with powerful data processing capabilities through a standardized interface. Start leveraging advanced functionalities to improve your workflows today!
,,
,Figma API Integration Server,Integrate Figma's powerful design capabilities into your applications. Leverage the MCP server to interact with Figma's API seamlessly and enhance your workflows. Simplify your design processes by connecting Figma with other tools and services effortlessly.
,,
,NASA MCP Server,"Access NASA's vast array of data sources through a standardized interface for AI models. Retrieve and interact with over 20 NASA APIs seamlessly, ensuring optimized data formats for AI consumption. Experience automatic parameter validation and comprehensive documentation to enhance your development process."
,,
,TMDB Server,"This server integrates with The Movie Database (TMDB) API to provide movie information, search capabilities, and recommendations."
,,
,CCXT MCP Server,High-performance CCXT MCP server for cryptocurrency exchange integration.
,,
,Prolog Execution and Querying,Execute Prolog code and query predicates seamlessly. Enhance your applications with powerful logic programming capabilities. Simplify your development process by integrating Prolog's reasoning abilities directly into your workflows.
,,
,Gemini Docs Server,Access documentation for various technologies using the Gemini API. Leverage a curated knowledge base for tailored responses to complex queries.
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Gmail MCP Server,"Send emails effortlessly through Gmail's SMTP server using AI agents. Attach files directly from your filesystem, download from URLs, or use pre-staged attachments with ease. Experience a resilient design that ensures reliable email delivery. Fetch recent emails and implement this into your workflows ( tested with discord bot integrations )."
,,
,JigsawStack Translation,"With our real time AI Translation, you can translate any text, conversation, or document to any language while maintaining the context, tone, and meaning with AI enabling high accuracy and reliability.

We support 180+ language pairs! Check out the list of languages we support here: https://jigsawstack.com/docs/additional-resources/languages

You can get your jigsawstack key here: https://jigsawstack.com/dashboard/"
,,
,Node Omnibus Server,"Streamline your Node.js development with automated project setup, component generation, and AI-powered assistance. Enhance your workflow by leveraging advanced tooling for React, Next.js, and more, all while ensuring seamless TypeScript integration. Focus on building great applications without the hassle of manual configurations and repetitive tasks."
,,
,PocketBase MCP Server,"Manage your PocketBase databases effortlessly. Perform advanced database operations, schema management, and data manipulation with ease using our comprehensive tools."
,,
,LGTM,Fetch random LGTM (Looks Good To Me) images for use in code reviews and developer communications. Enhance your team's collaboration by easily embedding fun and relevant images in your discussions.
,,
,Pump.fun Data Fetch Tool,Fetch and integrate data seamlessly for your applications using the Model Context Protocol. Enhance your projects with real-time data access and manipulation capabilities. Simplify your data interactions and improve efficiency with this powerful tool.
,,
,MCP Server Test,this tool allow you to format your text using markdown.
,,
,Hacker News,"Fetch stories, comments, and user info from Hacker News."
,,
,medRxiv MCP Server,"Enhance your research workflow by integrating real-time data access and processing capabilities. Utilize our server to seamlessly interact with medical research data and tools, enabling efficient analysis and insights. Streamline your projects with standardized prompts and resources tailored for the medical domain."
,,
,Snowflake Database Access Server,Enable seamless execution of SQL queries on Snowflake databases. Automatically manage database connections and handle query results and errors securely. Simplify your data operations with robust error handling and automatic connection management.
,,
,Email sending,Compose and send emails directly from your LLM applications. Integrate with Resend's API to streamline your email communication without manual copying and pasting.
,,
,Mapbox Server,Navigation and mapping tools using the Mapbox API.
,,
,Pulse CN MCP Server,Access real-time trending content from the Chinese internet. Connect your AI models to the latest data from popular social media platforms and news sites. Stay updated with what's trending in China effortlessly.
,,
,GitHub PR Comments Server,"Fetch GitHub Pull Request comments effortlessly. Retrieve structured comments, including file paths and replies, using your GitHub personal access token. Enhance your development workflow with easy access to PR discussions."
,,
,Scrappey MCP Server,Implement a powerful MCP server to enhance your Scrappey applications. Seamlessly integrate with external data and tools to enrich your workflows. Unlock the potential of dynamic context for your projects with ease.
,,
,GitHub Workflow Debugger,"Diagnose and fix GitHub Actions workflow failures using a structured decision tree. Fetch workflow run information, analyze failures, and receive actionable solutions to streamline your CI/CD process."
,,
,Kibela Integration Server,Integrate with Kibela to search and fetch notes seamlessly.
,,
,AniList MCP Server,"Access and interact with anime and manga data seamlessly. Retrieve detailed information about your favorite shows, characters, and user profiles with ease. Enhance your LLM applications with rich anime and manga content from AniList."
,,
,Human Loop Server,"Manage human-agent collaboration efficiently by determining when human intervention is necessary in AI operations. Utilize a sequential scoring system to evaluate requests across multiple dimensions, ensuring that only truly complex or sensitive cases reach human operators. Enhance decision-making transparency and system learning through tracked outcomes and adjustable thresholds."
,,
,HubSpot MCP Server,"Interact seamlessly with HubSpot CRM to manage your Note engagements. Create, update, delete, and fetch summary records effortlessly, enhancing your workflow and productivity. Streamline your communication by sending records via chat or email directly from the server."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,DynamoDB Server,Manage Amazon DynamoDB resources with table and capacity management tools.
,,
,HubSpot MCP Server,"Interact seamlessly with HubSpot CRM to manage your Note engagements. Create, update, delete, and fetch summary records effortlessly, enhancing your workflow and productivity. Streamline your communication by sending records via chat or email directly from the server."
,,
,Gmail MCP,"Manage your emails effortlessly with 60+ tools for drafting, sending, retrieving, and organizing messages. Streamline your email workflow with complete Gmail API coverage, including label and thread management."
,,
,Google Chat MCP Server,"Post messages to Google Chat spaces effortlessly using webhooks. Integrate seamlessly without the need for OAuth setup, making it simple and secure. Enhance your MCP-compatible tools with this easy-to-use server for Google Chat."
,,
,Weather,Provide real-time weather updates and forecasts to enhance your applications. Integrate weather data seamlessly and keep your users informed about current conditions and future forecasts.
,,
,Handwriting OCR,"Integrate your applications with the Handwriting OCR service to effortlessly upload documents, check their processing status, and retrieve OCR results in Markdown format. Enhance your workflows by automating text extraction from images and PDFs with ease."
,,
,Fetch Server,"Retrieve and process web content effortlessly. Convert HTML to markdown for easier consumption by LLMs, allowing models to extract information from web pages in manageable chunks."
,,
,Weather Tool,Provide real-time weather information and forecasts to enhance your applications. Integrate weather data seamlessly and empower users with up-to-date meteorological insights.
,,
,MultiversX MCP Server,"Create and manage PEM wallets for the MultiversX blockchain. Effortlessly retrieve wallet addresses, check balances, and send various token types including EGLD and NFTs. Enhance your blockchain interactions with secure and efficient wallet management capabilities."
,,
,Super Shell,Execute shell commands securely across multiple platforms with built-in whitelisting and approval mechanisms. Simplify command execution with automatic platform detection and comprehensive logging. Enhance your workflow by managing commands efficiently and safely.
,,
,Kubernetes Server,Manage your Kubernetes clusters effortlessly using natural language commands. Simplify complex kubectl operations and enhance your workflow with a conversational interface powered by LLMs. Experience seamless integration and type-safe interactions with your Kubernetes resources.
,,
,Headless Gmail Server,"Access and send emails through Gmail without local credential setup. Operate entirely in headless environments, ensuring a secure separation of credential storage from server operations. Ideal for marketing applications needing focused Gmail functionality without additional Google services."
,,
,Threat News,Collect and analyze threat information efficiently. Utilize our tools to gather data on threats over specified date ranges and enhance your security insights. Integrate with Neo4j for advanced knowledge graph capabilities.
,,
,Text Editor MCP Server,"Enable seamless text file management through a standardized API. View, edit, and create text files effortlessly, mimicking the functionality of Claude's built-in text editor. Enhance your applications with powerful file operations and directory support."
,,
,Weather Server,"Retrieve real-time weather information for cities worldwide. Get detailed insights including temperature, humidity, and wind conditions, with a fallback to mock data if needed. Enhance your AI assistant's capabilities with accurate weather data at your fingertips."
,,
,Prometheus MCP Server,Retrieve and analyze vast amounts of metric data from Prometheus databases. Execute complex queries and gain insights into metric usage patterns with enhanced control. Simplify your data exploration and analysis tasks through a dedicated MCP server interface.
,,
,Adb MySQL MCP Server,"Facilitate seamless communication between AI Agents and Adb MySQL databases. Retrieve database metadata and execute SQL operations effortlessly, enhancing your AI capabilities with real-time data access."
,,
,OpenAI Agents MCP Server,🚀 Supercharge Claude with OpenAI Agents: Instantly extend your AI assistant with OpenAI Agents. This MCP server seamlessly connects Claude to powerful Agent Tools capabilities: Web search • File analysis • Computer control • Intelligent orchestration...
,,
,Dart MCP Server,"Bridge the gap between AI coding assistants and Dart/Flutter development workflows. Utilize powerful Dart SDK commands to analyze, compile, and manage your Dart projects seamlessly. Experience intelligent path handling and zero configuration for a smooth development experience."
,,
,WebSearch,"Enable your AI assistants to perform real-time web searches and retrieve the latest information on any topic. Integrate seamlessly with the WebSearch Crawler API for efficient and accurate search results. Enhance your applications with up-to-date knowledge and insights from the web. This is self-hosted service, free
You will need to selfhost web api on local or vps. follow [guide here](https://github.com/mnhlt/WebSearch-MCP/blob/main/README.md)"
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Flow RPC Server,Transmita dados de blockchain sem problemas. Utilize métodos JSON-RPC padronizados para interagir com EVM onFlow permitindo que seus aplicativos de IA acessem informações de blockchain sem esforço.
,,
,FindMCP,Provide quick access to Smithery.ai URLs for seamless integration with the Cursor editor. Enhance your LLM capabilities by utilizing this simple and efficient MCP server to discover services effortlessly.
,,
,Clickhouse and PostgreSQL with Neurelo Connect,Interact with ClickHouse and PostgreSQL databases through Neurelo Connect.
,,
,Coding Prompt Engineer,Stop writing crappy Cursor AI prompts. Use a coding prompt engineer to rewrite your coding prompts and get the most out of your coding tasks.
,,
,OpenRPC MCP Server,A Model Context Protocol (MCP) server that provides JSON-RPC functionality through OpenRPC.
,,
,Rijksmuseum Server,"Interact with the Rijksmuseum API for artwork searches, retrieval of artwork details, and access to high-resolution images and user collections."
,,
,Python Documentation Server,Fetch Python documentation effortlessly using the Brave Search API. Get relevant documentation links based on your queries to enhance your coding experience. Simplify your search for Python resources with this dedicated server.
,,
,Shodan MCP Server,Access Shodan's API to enhance your AI assistant's capabilities. Query detailed information about internet-connected devices and services to bolster cybersecurity research and threat intelligence. Simplify your data retrieval with advanced search functionalities and result summarization.
,,
,BrowserCat MCP Server,"Automate web interactions effortlessly with our cloud-based browser service. Navigate, take screenshots, and execute JavaScript in a real browser environment without any local installations. Enhance your LLM capabilities with seamless browser automation."
,,
,XiYan MCP Server,"Enhance your AI assistants by enabling natural language queries to databases, allowing you to effortlessly fetch data, list tables, and read contents using advanced text-to-SQL techniques. Whether operating in cloud mode or pure local mode, enjoy seamless support for both MySQL and PostgreSQL databases. Elevate your database interaction capabilities to a new level of sophistication."
,,
,Paylocity Data Fetcher,"Fetch and manage employee data, earnings, and pay statements from Paylocity seamlessly. Access comprehensive employee information and insights through a secure API integration. Simplify your HR processes with real-time data retrieval and management capabilities."
,,
,Trello Integration Server,"Interact seamlessly with Trello boards and automate your task management. Fetch, update, and manage cards and lists while respecting Trello's API limits and ensuring type safety. Enhance your productivity by integrating Trello's capabilities into your applications effortlessly."
,,
,YouTube MCP,"Extract transcripts, summarize content, and query videos effortlessly. Leverage Gemini AI to enhance your YouTube video analysis capabilities. Gain insights and streamline your video content interactions with powerful tools."
,,
,Linkup Search,Provides web search capability using the LinkupClient to fetch real-time information.
,,
,HubSpot MCP,"Access and manage your CRM data seamlessly with 100+ tools in our HubSpot MCP implementation including manipulation of Contacts, Companies, and Associations."
,,
,Kakao Map MCP server,카카오맵 API를 활용하여 대한민국 내 위치 기반 장소 추천을 제공하는 MCP 서버입니다.
,,
,Chronicle SecOps,"Interact with Google's Chronicle Security Operations suite to enhance your security monitoring. Search for security events, retrieve alerts, and look up entity information seamlessly. Leverage powerful security tools to stay ahead of potential threats. Set ""env"": {
        ""CHRONICLE_PROJECT_ID"": ""your-google-cloud-project-id"",
        ""CHRONICLE_CUSTOMER_ID"": ""your-chronicle-customer-id"",
        ""CHRONICLE_REGION"": ""us""
      }
in your config file."
,,
,Zig Server,"Enhance AI capabilities with Zig language tooling, code analysis, and documentation."
,,
,Obsidian Integration Server,"Interact seamlessly with your Obsidian vault using a powerful MCP server. Retrieve, search, and modify your notes effortlessly, enhancing your productivity and organization. Leverage the capabilities of Claude to summarize and manage your notes with ease."
,,
,MCPet,"Adopt, nurture, and play with your very own digital companion that evolves based on your care. Manage your pet's stats, engage in fun activities, and watch them grow from a baby to an adult. Experience a nostalgic virtual pet simulation powered by modern AI."
,,
https://smithery.ai/,,
https://smithery.ai/,Resources,Building the operating system for AI
,Zig Server,"Enhance AI capabilities with Zig language tooling, code analysis, and documentation."
,,
,Obsidian Integration Server,"Interact seamlessly with your Obsidian vault using a powerful MCP server. Retrieve, search, and modify your notes effortlessly, enhancing your productivity and organization. Leverage the capabilities of Claude to summarize and manage your notes with ease."
,,
,Atlassian Bitbucket Integration,"Access and manage your Bitbucket repositories, pull requests, and commits directly from AI assistants. Enhance your workflow by integrating Bitbucket data seamlessly into your AI interactions. Utilize a customizable server to connect your AI systems with Atlassian Bitbucket securely and efficiently."
,,
,FluentLab Funding Assistant,Access a variety of funding options and required documents for applications. Streamline your funding search and application process with our easy-to-use API. Get started quickly and efficiently with the tools provided by FluentLab.
,,
,LLM Bridge,Interact seamlessly with multiple large language models through a unified interface. Switch between different LLM providers effortlessly and customize your interactions with adjustable parameters. Enhance your AI applications with powerful language model capabilities without the hassle of managing multiple integrations.
,,
,Daily Todo,Manage your tasks efficiently with a simple and intuitive interface. Stay organized and boost your productivity by keeping track of your daily to-dos. Get started quickly and enjoy a seamless experience in task management.
,,
,Macrostrat API Server,"Query comprehensive geologic data and information using natural language. Analyze geological data to enhance understanding and create graphics from the data. Access a wide range of geologic units, minerals, and timescales effortlessly."
,,
,Figma MCP 服务器,"Integrate Figma design files seamlessly with AI coding tools. Enhance the accuracy of code generation by providing AI tools with direct access to Figma design data, surpassing traditional methods like screenshots."
,,
,GitHub API MCP Server,"Manage your GitHub repositories effortlessly. Create, update, and search for files, issues, and pull requests with ease, all while preserving your Git history. Streamline your development workflow by automating repository management tasks."
,,
,QRCode_MCP,Generate simple QR codes with customizable styles.
,,
,Sketchup Integration,"Connect Sketchup to Claude AI for enhanced 3D modeling and scene manipulation. Utilize prompts to create, modify, and control components directly within Sketchup, enabling advanced operations through Ruby code execution."
,,
,EMQX MCP Server,A Model Context Protocol (MCP) server implementation that provides EMQX MQTT broker interaction.
,,
,Ethereum RPC Server,Interact with the Ethereum blockchain seamlessly. Query blockchain data like account balances and gas prices through standardized JSON-RPC methods. Enhance your AI applications with real-time Ethereum data access.
,,
,Atom of Thoughts,"Enhance your applications with intelligent thought processing capabilities. Leverage advanced language models to generate, analyze, and manipulate ideas seamlessly. Transform your workflows with powerful context-aware interactions."
,,
,Gaode Weather,Fetch current weather information for your city using the Gaode Map API. Easily integrate weather data into your applications and enhance user experience with real-time updates. Start building your weather-aware applications today!
,,
,Image Extractor,MCP server for extracting and converting images to base64 for LLM analysis.
,,
,Chroma MCP Server,"Integrate vector database capabilities into your LLM applications. Effortlessly manage collections, perform semantic searches, and retrieve data with advanced filtering. Enhance your AI models with powerful data retrieval features for improved context and performance."
,,
,BrasilAPI MCP Server,"Query a variety of data from Brasil resources seamlessly. Access information on postal codes, area codes, banks, holidays, taxes, and more through a unified interface. Enhance your AI agents and applications with rich and updated data from BrasilAPI effortlessly."
,,
,Clickzetta Server,Enable seamless database interactions and insights analysis with SQL queries. Run complex queries and manage data efficiently while gaining valuable insights through a dynamic memo resource. Enhance your data-driven applications with powerful tools for querying and analysis.
,,
